Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Prediction
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,4162,4162,4162,1,4162,4162,1,1,1,1,4162,4162,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,792,792,792,1,792,792,1,1,1,1,792,792,0,0,1,0,0
8080,0,1,1,171,171,171,1,171,171,1,1,1,1,171,171,0,0,1,0,0
35272,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
35272,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,12354,12354,12354,1,12354,12354,1,1,1,1,12354,12354,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0
35272,0,1,1,1913,1913,1913,1,1913,1913,1,1,1,1,1913,1913,0,0,1,0,0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0
35272,0,1,1,1809,1809,1809,1,1809,1809,1,1,1,1,1809,1809,0,0,1,0,0
